"File","SZS","ExitCode","Seconds"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG252^1.p","Timeout","0","10.19"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG253^2.p","Timeout","0","10.14"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG252^2.p","Timeout","0","10.24"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG251^3.p","Timeout","0","10.26"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG258^1.p","Timeout","0","10.14"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG258^2.p","Timeout","0","10.14"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG275^5.p","GaveUp","0","5.26"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG277^5.p","Theorem","0","5.29"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG279^5.p","Theorem","0","5.22"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG264^1.p","Timeout","0","10.2"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG264^3.p","Timeout","0","10.21"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG267^2.p","Timeout","0","10.15"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG267^1.p","Timeout","0","10.2"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG266^1.p","Timeout","0","10.24"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG286^5.p","Theorem","0","0.32"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG287^5.p","Theorem","0","0.32"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG268^1.p","Timeout","0","10.23"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG269^2.p","Timeout","0","10.17"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG268^5.p","Timeout","0","10.23"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG269^3.p","Timeout","0","10.2"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG269^1.p","Timeout","0","10.22"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG269^4.p","Timeout","0","10.21"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG268^3.p","Timeout","0","10.3"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG274^5.p","Timeout","0","10.22"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG273^5.p","Timeout","0","10.25"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG271^5.p","Timeout","0","10.26"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG276^5.p","Timeout","0","10.24"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG272^5.p","Timeout","0","10.28"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG268^6.p","Timeout","0","10.33"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG278^5.p","Timeout","0","10.23"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG444^1.p","Satisfiable","0","0.21"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG280^5.p","Timeout","0","10.28"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG290^5.p","Theorem","0","0.69"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA046^1.p","Theorem","0","1.43"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA050^1.p","Theorem","0","1.35"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA047^1.p","Theorem","0","1.39"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA049^1.p","Theorem","0","1.37"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA051^1.p","Theorem","0","1.36"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA048^1.p","Theorem","0","1.44"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA054^1.p","Theorem","0","1.55"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA058^1.p","Theorem","0","1.52"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA055^1.p","Theorem","0","1.54"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA057^1.p","Theorem","0","1.52"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA056^1.p","Theorem","0","1.52"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA052^1.p","Theorem","0","1.58"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA060^1.p","Theorem","0","1.53"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA059^1.p","Theorem","0","1.59"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA061^1.p","Theorem","0","1.52"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA062^1.p","Theorem","0","1.3"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA063^1.p","Theorem","0","1.2"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA065^1.p","Theorem","0","1.17"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA053^1.p","Theorem","0","2.55"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA064^1.p","Theorem","0","1.18"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA068^1.p","Theorem","0","1.19"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA067^1.p","Theorem","0","1.2"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA071^1.p","Theorem","0","1.02"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA072^1.p","Theorem","0","1.02"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA069^1.p","Theorem","0","1.03"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA070^1.p","Theorem","0","1.03"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA066^1.p","Theorem","0","1.21"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA074^1.p","Theorem","0","1.57"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA077^1.p","Theorem","0","4.96"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA078^1.p","GaveUp","0","4.96"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA079^1.p","Theorem","0","4.15"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA083^1.p","Theorem","0","5.07"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA082^1.p","Theorem","0","5.08"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA084^1.p","Theorem","0","5.08"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA081^1.p","Theorem","0","5.09"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA087^1.p","Theorem","0","5.12"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA086^1.p","Theorem","0","5.09"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA085^1.p","GaveUp","0","5.4"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA089^1.p","Theorem","0","5.16"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA091^1.p","Theorem","0","2.87"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA092^1.p","Theorem","0","2.86"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA095^1.p","Theorem","0","1.38"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA096^1.p","Theorem","0","1.38"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA097^1.p","Theorem","0","1.35"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA098^1.p","GaveUp","0","1.35"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG281^5.p","Timeout","0","10.2"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA102^1.p","Theorem","0","0.12"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG288^5.p","Timeout","0","10.13"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG289^5.p","Timeout","0","10.14"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG284^5.p","Timeout","0","10.25"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA103^1.p","GaveUp","0","0.16"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG283^5.p","Timeout","0","10.29"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG282^5.p","Timeout","0","10.3"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG291^5.p","Timeout","0","10.06"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG285^5.p","Timeout","0","10.26"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG292^5.p","Timeout","0","10.06"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA107^1.p","Theorem","0","0.17"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA108^1.p","Theorem","0","0.17"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA109^1.p","Theorem","0","0.12"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG294^5.p","Timeout","0","10.07"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA111^1.p","GaveUp","0","0.13"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG296^5.p","Timeout","0","10.07"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG293^5.p","Timeout","0","10.1"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA115^1.p","Theorem","0","0.11"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA100^1.p","Theorem","0","1.63"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG297^5.p","Timeout","0","10.06"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG298^5.p","Timeout","0","10.08"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG295^5.p","Timeout","0","10.2"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA099^1.p","Theorem","0","1.81"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA119^1.p","Theorem","0","0.24"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA105^1.p","Theorem","0","0.45"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA106^1.p","Theorem","0","0.45"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA123^1.p","GaveUp","0","1.79"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA073^1.p","Timeout","0","10.1"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA076^1.p","Timeout","0","10.07"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA075^1.p","Timeout","0","10.13"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA113^1.p","Theorem","0","2.18"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA128^1.p","GaveUp","0","2.68"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA080^1.p","Timeout","0","10.04"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA088^1.p","Timeout","0","10.09"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA125^1.p","Theorem","0","3.06"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA090^1.p","Timeout","0","10.04"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA093^1.p","Timeout","0","10.13"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA094^1.p","Timeout","0","10.04"
"C:\TPTP\TPTP-v9.3.1\Problems\CAT\CAT039^1.p","GaveUp","0","5.11"
"C:\TPTP\TPTP-v9.3.1\Problems\CAT\CAT041^1.p","GaveUp","0","5.08"
"C:\TPTP\TPTP-v9.3.1\Problems\CAT\CAT042^1.p","GaveUp","0","5.17"
"C:\TPTP\TPTP-v9.3.1\Problems\CAT\CAT040^1.p","GaveUp","0","5.09"
"C:\TPTP\TPTP-v9.3.1\Problems\CAT\CAT043^1.p","GaveUp","0","5.08"
"C:\TPTP\TPTP-v9.3.1\Problems\CAT\CAT038^2.p","GaveUp","0","8.37"
"C:\TPTP\TPTP-v9.3.1\Problems\CAT\CAT038^1.p","GaveUp","0","8.53"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM024^5.p","GaveUp","0","5.13"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA126^1.p","Theorem","0","9.09"
